University Type, ADT, Calculus I, Calculus II, Calculus III, Linear Algebra, Differential Equations, Vector Calculus, Statistics, Intro to Programming, Intermediate Programming, Basic Data Structures & OOP, Discrete Math/Structures, Programming with Software Libraries, Intro to Software Engineering, Boolean Logic, Data Structures and Algorithms, Machine Org and Assembly, Intro to Umix
UCs, 0, 8, 8, 4, 6, 4, 3, 0, 8, 3, 4, 6, 2, 1, 1, 2, 3, 0 
CSUs, 5, 5, 4, 0, 2, 1, 0, 2, 4, 3, 1, 3, 1, 0, 0, 1, 3, 1
